Module,Lines,Classes,Functions
tests/scientific/mathematical/test_singularity_and_overflow.py,76,0,3
tests/scientific/numerical/test_timestep_stability.py,47,0,1
tests/scientific/physics/test_fluid_properties.py,66,0,2
tests/scientific/physics/test_phase_equilibrium.py,95,0,3
tests/scientific/physics/test_thermodynamic_consistency.py,114,0,3
tests/scientific/reference_solutions/test_arps_analytical_eur.py,36,0,1
tests/scientific/reference_solutions/test_buckley_leverett_analytical.py,71,0,5
tests/scientific/regression/test_scientific_invariants.py,42,0,1
tests/scientific/solver/test_solver_residuals.py,29,0,1
tests/scientific/symmetry/test_pattern_symmetry.py,23,0,1
tests/test_closed_loop_and_well_roles.py,87,0,3
tests/test_cmg_surrogate_validation.py,375,0,23
tests/test_physics_enhancements.py,231,4,8
tests/test_physics_validation.py,517,7,33
tests/test_plotting_diagnostics.py,280,0,9
tests/test_run_exporter.py,295,2,9
tests/validation/__init__.py,26,0,0
tests/validation/cmg_input_generator.py,306,1,12
tests/validation/cmg_output_parser.py,358,1,5
tests/validation/cmg_runner.py,195,1,4
tests/validation/combined_cmg_parser.py,174,1,3
tests/validation/comparison_metrics.py,279,1,12
tests/validation/direct_engine_test.py,121,0,0
tests/validation/empirical_engine_validation.py,489,1,6
tests/validation/engine_validation_plots.py,854,0,8
tests/validation/extract_sr3_reference.py,148,0,2
tests/validation/spe5_benchmark_validation.py,0,0,0
tests/validation/spe5_benchmark_validation_fixed.py,0,0,0
tests/validation/spe5_config.py,1041,0,19
tests/validation/spe5_empirical_validation.py,449,1,8
tests/validation/spe5_phd_surrogate_validation.py,502,2,8
tests/validation/sr3_parser.py,258,1,4
tests/validation/sr3_reader.py,766,4,21
tests/validation/test_phase3_changes.py,195,0,0
tests/validation/validate_against_cmg.py,568,0,7
tests/validation/validate_all_engines.py,490,0,11
tests/validation/validate_surrogate_against_cmg.py,524,0,7
tests/validation/visual_validation.py,679,0,7
ui/__init__.py,0,0,0
ui/ai_assistant_widget.py,381,1,27
ui/analysis_widget.py,627,1,25
ui/config_widget.py,1337,1,36
ui/data_management_widget.py,2052,5,54
ui/dialogs/ai_report_features_dialog.py,33,1,2
ui/dialogs/injection_scheme_dialog.py,684,2,20
ui/dialogs/optimization_results_dialog.py,361,1,14
ui/dialogs/plot_customization_dialog.py,158,1,11
ui/dialogs/preferences_dialog.py,774,7,52
ui/dialogs/report_config_dialog.py,323,1,10
ui/dialogs/scenario_editor_dialog.py,282,1,11
ui/dialogs/task_editor_dialog.py,164,1,7
ui/main_window.py,2064,1,82
ui/models/__init__.py,3,0,0
ui/models/optimization_types.py,24,2,0
ui/optimization_widget.py,2354,4,65
ui/overview_page.py,492,2,22
ui/qt_log_handler.py,53,3,5
ui/sensitivity_widget.py,559,2,26
ui/uq_widget.py,442,4,34
ui/utils/scheme_utils.py,22,0,1
ui/widgets/chat_bubble.py,87,1,6
ui/widgets/context_bubble.py,40,1,2
ui/widgets/depth_profile_dialog.py,53,2,4
ui/widgets/depth_profile_editor.py,234,1,17
ui/widgets/edit_uq_parameter_dialog.py,129,1,7
ui/widgets/engine_selection_widget.py,142,1,7
ui/widgets/file_list_widget.py,227,1,15
ui/widgets/geomechanics_3d_view.py,552,1,26
ui/widgets/help_icon.py,52,1,4
ui/widgets/language_change_mixin.py,10,1,1
ui/widgets/log_viewer_dialog.py,425,5,18
ui/widgets/manual_well_dialog.py,399,4,20
ui/widgets/parameter_input_group.py,221,1,22
ui/widgets/parameter_tree_view.py,75,1,5
ui/widgets/pvt_editor_dialog.py,967,4,27
ui/widgets/pvt_table_editor.py,315,1,13
ui/workers/ai_query_worker.py,170,1,5
ui/workers/base_worker.py,47,1,5
ui/workers/dca_worker.py,37,2,2
ui/workers/model_list_worker.py,44,1,2
ui/workers/optimization_worker.py,64,1,4
ui/workers/sensitivity_analysis_worker.py,85,1,4
ui/workers/uq_worker.py,60,1,3
ui/workers/well_analysis_worker.py,98,1,5
utils/__init__.py,50,0,0
utils/config_manager.py,169,2,10
utils/error_handler.py,962,8,52
utils/file_association.py,114,1,6
utils/grdecl_writer.py,167,0,2
utils/i18n_manager.py,128,1,4
utils/multiprocess_logging.py,281,2,11
utils/path_utils.py,99,0,7
utils/preferences_manager.py,432,8,22
utils/project_file_handler.py,92,1,4
utils/report_generator.py,1009,1,21
utils/run_exporter.py,1258,1,18
utils/units_manager.py,352,1,7
utils/validation_manager.py,96,1,4
